Date,Amount (RSD),Description
2025-09-30,73.99,Maxi
2025-09-30,1022.83,Maxi
2025-09-30,5996.0,Poklon
2025-09-30,73.99,Maxi
2025-09-30,1022.83,Maxi
2025-09-28,4431.91,Lidl
2025-09-28,1224.0,Kopirnica
2025-09-28,3600.0,Crux
2025-09-27,1392.25,Maxi
2025-09-27,2496.8,Maxi
2025-09-25,237.0,Shop&Go
2025-09-23,3000.0,Lidl
2025-09-23,2164.91,Impresivna
2025-09-23,1991.99,ChatGPT
2025-09-21,2630.0,Wolt
2025-09-21,587.64,Netflix
2025-09-21,880.0,Crna ovca
2025-09-20,2961.2,Maxi
2025-09-20,4510.0,Restoran
2025-09-19,1376.1,A1 racun
2025-09-18,864.98,Apoteka
2025-09-18,1070.0,Restoran
2025-09-18,740.0,Kuhinjica
2025-09-17,1577.53,Lidl
2025-09-17,480.0,Restoran
2025-09-16,2142.99,Glovo
2025-09-16,1296.5,Wolt
2025-09-16,600.0,Loto
2025-09-15,240.0,Putarina
2025-09-15,660.9,Maxi
2025-09-30,459.68,Odrzavanje racuna
2025-08-29,644.46,Shop&Go
2025-08-29,600.0,Loto
2025-08-29,790.0,Kafić
2025-08-29,575.1,Kuhinjica
2025-08-28,540.0,Zrno RA
2025-08-28,586.98,Shop&Go
2025-08-28,9196.0,KOTON
2025-08-27,20000.0,Restoran
2025-08-27,670.4,Maxi
2025-08-27,347.74,Apoteka
2025-08-27,1229.32,Apoteka
2025-08-26,905.15,Maxi
2025-08-26,1919.55,Maxi
2025-08-26,2074.11,ChatGPT
2025-08-26,2053.5,Wolt
2025-08-26,33500.0,Partizan
2025-08-26,7000.0,Partizan
2025-08-25,2462.29,Maxi
2025-08-25,1989.87,Maxi
2025-08-25,248.4,Shop&Go
2025-08-25,155.99,Shop&Go
2025-08-22,15.0,Naknada
2025-08-22,1000.0,Poklon
2025-08-22,599.29,Netflix
2025-08-22,325.8,Shop&Go
2025-08-22,169.49,Shop&Go
2025-08-22,77.99,Shop&Go
2025-08-22,45.0,Naknada
2025-08-22,2500.0,Poklon
2025-08-15,338.4,Shop&Go
2025-08-15,311.98,Shop&Go
2025-08-15,1208.48,Apoteka
2025-08-15,14363.5,bc group
2025-08-14,2003.0,Poklon
2025-08-14,52.99,Shop&Go
2025-08-14,309.6,Shop&Go
2025-08-14,77.99,Shop&Go
2025-08-15,227.48,Shop&Go
2025-08-13,2000.0,ATM
2025-08-13,789.95,Maxi
2025-08-13,360.0,Shop&Go
2025-08-13,166.98,Shop&Go
2025-07-31,110.0,Shop&Go
2025-07-31,84.48,Shop&Go
2025-07-31,166.98,Shop&Go
2025-07-31,2000.0,ATM
2025-07-31,3195.0,Restoran
2025-07-30,1597.77,Maxi
2025-07-30,605.18,Shop&Go
2025-07-30,1726.5,Wolt
2025-07-28,974.3,Dm
2025-07-28,494.0,Shop&Go
2025-07-25,9015.0,Majstor
2025-07-25,403.2,Shop&Go
2025-07-25,127.68,Shop&Go
2025-07-25,158.98,Shop&Go
2025-07-24,2057.42,ChatGPT
2025-07-24,290.99,Shop&Go
2025-07-24,514.48,Apoteka
2025-07-24,450.0,Zrno RA
2025-07-24,571.1,Shop&Go
2025-07-23,2189.89,Maxi
2025-07-23,2978.0,Wolt
2025-07-23,1000.0,Poklon
2025-07-22,15.0,Naknada
2025-07-23,500.0,Poklon
2025-07-22,2550.0,Poklon
2025-07-22,599.36,Netflix
2025-07-22,1716.5,Wolt
2025-07-21,1936.32,Maxi
2025-07-21,77.99,Shop&Go
2025-07-18,2513.08,Lidl
2025-07-18,304.2,Shop&Go
2025-07-18,100.1,Shop&Go
2025-07-18,77.99,Shop&Go
2025-07-18,580.0,Loto
2025-07-17,166.98,Shop&Go
2025-07-17,1265.0,Wolt
2025-07-16,726.95,Idea
2025-07-15,40.0,Naknada
2025-07-15,14363.5,bc group
2025-07-24,974.3,Dm
2025-07-24,333.0,Shop&Go
2025-07-24,161.0,Shop&Go
2025-07-23,1997.0,ChatGPT
2025-07-23,403.2,Shop&Go
2025-07-23,30.0,Naknada
2025-07-23,1500.0,Poklon
2025-07-23,158.98,Shop&Go
2025-07-22,288.0,Shop&Go
2025-07-22,514.48,Apoteka
2025-07-22,450.0,Zrno RA
2025-07-22,123.12,Shop&Go
2025-07-22,69.99,Shop&Go
2025-07-21,2550.0,Poklon
2025-07-21,2189.89,Maxi
2025-07-21,585.97,Netflix
2025-07-20,2978.0,Wolt
2025-07-19,1716.5,Wolt
2025-07-17,1936.32,Maxi
2025-07-17,77.99,Shop&Go
2025-07-16,2513.08,Lidl
2025-07-16,304.2,Shop&Go
2025-07-16,100.1,Shop&Go
2025-07-16,77.99,Shop&Go
2025-07-16,40.0,Naknada
2025-07-15,14363.5,bc group
2025-07-15,1351.94,A1 racun
2025-07-15,166.98,Shop&Go
2025-07-14,726.95,Maxi
2025-07-14,1265.0,Wolt
2025-06-30,79999.0,Poklon
