Godina,Mesec,Trošak,Amount (RSD)
2023,Januar,Lulu,160.0
2023,Januar,Lulu,360.0
2023,Januar,Apoteka,471.0
2023,Januar,Maxi,386.95
2023,Januar,Lulu,417.0
2023,Januar,Lidl,2849.64
2023,Januar,Dm,1932.0
2023,Januar,Apoteka,502.5
2023,Januar,Maxi,725.94
2023,Januar,Kuhinjica,359.55
2023,Januar,Maxi,67.99
2023,Januar,Lulu,160.0
2023,Januar,Cargo,787.32
2023,Januar,Stomatolog,3300.0
2023,Januar,Cargo,683.82
2023,Januar,Maxi,1254.65
2023,Januar,Infostan,8429.93
2023,Januar,SBB internet,3099.0
2023,Januar,Telekom,1698.99
2023,Januar,Naknada,28.0
2023,Januar,Naknada,14.0
2023,Januar,Maxi,183.2
2023,Januar,Kuhinjica,425.0
2023,Januar,Kuhinjica,354.03
2023,Januar,Maxi,2033.57
2023,Januar,Lulu,220.0
2023,Januar,Kuhinjica,445.4
2023,Januar,Maxi,1461.89
2023,Januar,Zdrava hrana,259.98
2023,Januar,Maxi,60.99
2023,Januar,Maxi,143.97
2023,Januar,Kuhinjica,419.05
2023,Januar,Zlatara Andrejević,15000.0
2023,Januar,Maxi,227.97
2023,Januar,Maxi,71.99
2023,Januar,Zdrava hrana,193.19
2023,Januar,ATM,2000.0
2023,Januar,Kuhinjica,346.8
2023,Januar,Kuhinjica,402.9
2023,Januar,Lidl,3272.24
2023,Januar,ATM,3000.0
2023,Januar,Maxi,1796.57
2023,Januar,Kuhinjica,392.28
2023,Januar,Maxi,144.98
2023,Januar,Kuhinjica,544.0
2023,Januar,Cargo,583.92
2023,Januar,Cargo,533.92
2023,Januar,Maxi,439.97
2023,Januar,Cargo,533.92
2023,Januar,Maxi,219.0
2023,Januar,Glovo,1760.0
2023,Januar,Nine West,6293.7
2023,Januar,Poklon,5289.0
2023,Januar,Maxi,84.99
2023,Januar,Poklon,3590.0
2023,Januar,Kuhinjica,333.2
2023,Januar,Maxi,854.52
2023,Januar,Kuhinjica,501.5
2023,Januar,Zdrava hrana,508.77
2023,Januar,Odrzavanje racuna,300.0
2023,Januar,Maxi,224.98
2023,Januar,Kuhinjica,444.55
2023,Januar,Kuhinjica,351.05
2023,Januar,Maxi,259.0
2023,Januar,Wolt,1864.0
2023,Januar,Dm,5245.35
2023,Januar,Maxi,2807.66
2023,Februar,Kuhinjica,532.1
2023,Februar,Apoteka,516.33
2023,Februar,Maxi,121.98
2023,Februar,Zlatara Andrejević,12500.0
2023,Februar,Telekom,1898.99
2023,Februar,Naknada,28.0
2023,Februar,SBB internet,3099.0
2023,Februar,Infostan,8602.47
2023,Februar,Maxi,143.97
2023,Februar,Naknada,14.0
2023,Februar,Maxi,51.99
2023,Februar,Kuhinjica,499.8
2023,Februar,Maxi,51.99
2023,Februar,Dm,2354.0
2023,Februar,Kuhinjica,416.5
2023,Februar,ATM,4000.0
2023,Februar,Maxi,244.99
2023,Februar,Apoteka,408.96
2023,Februar,Maxi,658.96
2023,Februar,Naknada,14.0
2023,Februar,Maxi,3056.81
2023,Februar,Maxi,70.0
2023,Februar,Aman,144.98
2023,Februar,Cargo,583.92
2023,Februar,Kuhinjica,446.68
2023,Februar,Kafić,330.0
2023,Februar,Maxi,431.98
2023,Februar,Maxi,2165.82
2023,Februar,Dm,2872.0
2023,Februar,Wolt,704.0
2023,Februar,Maxi,377.97
2023,Februar,Maxi,144.99
2023,Februar,Maxi,513.28
2023,Februar,Maxi,3605.41
2023,Februar,Glovo,1432.0
2023,Februar,Naknada,14.0
2023,Februar,Maxi,70.97
2023,Februar,Maxi,732.99
2023,Februar,Maxi,625.61
2023,Februar,Liscaven,2392.0
2023,Februar,Maxi,1801.24
2023,Februar,Cargo,672.42
2023,Februar,Cargo,559.02
2023,Februar,Djerdanven,20155.0
2023,Februar,Cargo,604.72
2023,Februar,Maxi,468.99
2023,Februar,Lilly,529.99
2023,Februar,ATM,5000.0
2023,Februar,Naknada,300.0
2023,Februar,Maxi,2626.57
2023,Februar,Apoteka,813.25
2023,Februar,Lidl,448.95
2023,Februar,Licna karta,1254.8
2023,Februar,Pasos,3710.0
2023,Februar,Vozacka,1785.0
2023,Februar,Putarina,370.0
2023,Februar,Idea,364.95
2023,Februar,Restoran,2955.0
2023,Februar,Restoran,1420.0
2023,Februar,McDonald's,1130.0
2023,Februar,Idea,192.97
2023,Februar,Kontiki,26352.0
2023,Februar,Kafić,700.0
2023,Mart,Mega Maxi,3120.75
2023,Mart,Maxi,2556.73
2023,Mart,Mega Maxi,354.96
2023,Mart,Maxi,1375.35
2023,Mart,Telekom,1498.99
2023,Mart,Naknada,14.0
2023,Mart,SBB internet,3249.0
2023,Mart,Naknada,14.0
2023,Mart,Restoran,3080.0
2023,Mart,Kuhinjica,374.0
2023,Mart,Maxi,49.99
2023,Mart,Maxi,190.98
2023,Mart,Infostan,8819.82
2023,Mart,ATM,2000.0
2023,Mart,Lilly,395.98
2023,Mart,Kuhinjica,496.0
2023,Mart,Kuhinjica,423.3
2023,Mart,Maxi,704.94
2023,Mart,Maxi,3069.83
2023,Mart,Lidl,272.95
2023,Mart,Maxi,179.9
