Godina,Mesec,Trošak,Amount (RSD)
2025,Januar,Poklon,500.0
2025,Januar,Infostan,6817.28
2025,Januar,Naknada,15.0
2025,Januar,Shop&Go,178.2
2025,Januar,Shop&Go,71.99
2025,Januar,Impresivna,3300.0
2025,Januar,Shop&Go,351.0
2025,Januar,Wolt,1987.49
2025,Januar,ATM,5000.0
2025,Januar,Biblioteka,750.0
2025,Januar,Poklon,500.0
2025,Januar,Naknada,15.0
2025,Januar,Shop&Go,71.99
2025,Januar,Shop&Go,252.0
2025,Januar,Maxi,734.95
2025,Januar,Poklon,1000.0
2025,Januar,Naknada,15.0
2025,Januar,Shop&Go,227.09
2025,Januar,Shop&Go,257.4
2025,Januar,Wolt,1265.0
2025,Januar,Wolt,646.0
2025,Januar,Shop&Go,154.98
2025,Januar,A1 racun,1458.9
2025,Januar,Shop&Go,377.59
2025,Januar,Shop&Go,86.98
2025,Januar,Loto,680.0
2025,Januar,Maxi,431.96
2025,Januar,Maxi,741.47
2025,Januar,Apoteka,1004.7
2025,Januar,Maxi,1338.87
2025,Januar,ATM,3000.0
2025,Januar,Wolt,1769.0
2025,Januar,Shop&Go,299.08
2025,Januar,Shop&Go,216.0
2025,Januar,Shop&Go,74.99
2025,Januar,Maxi,2093.68
2025,Januar,Netflix,599.09
2025,Januar,Shop&Go,297.0
2025,Januar,Maxi,1720.5
2025,Januar,Shop&Go,154.98
2025,Januar,Shop&Go,71.99
2025,Januar,Lidl,1897.92
2025,Januar,Wolt,1265.0
2025,Januar,Shop&Go,262.8
2025,Januar,Naknada,15.0
2025,Januar,Maxi,2194.12
2025,Januar,Wolt,2360.95
2025,Januar,Poklon,1000.0
2025,Januar,CT shop,1098.0
2025,Januar,Shop&Go,330.98
2025,Januar,Shop&Go,315.0
2025,Januar,Naknada,475.0
2025,Januar,Maxi,541.94
2025,Januar,Lidl,3312.96
2025,Januar,Zrno RA,860.0
2025,Januar,Shop&Go,221.4
2025,Januar,Maxi,2741.17
2025,Januar,Wolt,1270.0
2025,Januar,Impresivna,3500.0
2025,Januar,Lidl,4096.77
2025,Januar,Shop&Go,71.99
2025,Januar,Shop&Go,169.99
2025,Januar,Shop&Go,71.99
2025,Januar,Shop&Go,221.59
2025,Januar,Shop&Go,289.8
2025,Januar,Apoteka,514.48
2025,Januar,Gigatron,7999.0
2025,Februar,Maxi,1693.93
2025,Februar,Lidl,2032.89
2025,Februar,Shop&Go,241.2
2025,Februar,Shop&Go,57.99
2025,Februar,Aman,319.98
2025,Februar,Shop&Go,151.19
2025,Februar,Donacija,1000.0
2025,Februar,Naknada,15.0
2025,Februar,Naknada,15.0
2025,Februar,Shop&Go,221.4
2025,Februar,Shop&Go,82.99
2025,Februar,Maxi,1552.69
2025,Februar,Shop&Go,154.98
2025,Februar,Maxi,356.96
2025,Februar,Shop&Go,340.2
2025,Februar,Infostan,6990.22
2025,Februar,Naknada,15.0
2025,Februar,Pecat zivota,2300.0
2025,Februar,Dm,66.8
2025,Februar,A1 racun,1751.94
2025,Februar,Dm,1908.2
2025,Februar,Mesara,1035.5
2025,Februar,Mesara,2350.04
2025,Februar,Lidl,1108.94
2025,Februar,Ikea,1396.0
2025,Februar,Shop&Go,71.99
2025,Februar,Shop&Go,256.32
2025,Februar,Maxi,3070.75
2025,Februar,ATM,7000.0
2025,Februar,Shop&Go,57.99
2025,Februar,Maxi,1544.89
2025,Februar,Netflix,599.49
2025,Februar,Lidl,1529.96
2025,Februar,Poklon,500.0
2025,Februar,Naknada,15.0
2025,Februar,Dm,289.0
2025,Februar,Legend,2819.15
2025,Februar,Lidl,1899.91
2025,Februar,Impresivna,3300.0
2025,Februar,Ajo Leather,4040.0
2025,Februar,Naknada,15.0
2025,Februar,Putarina,100.0
2025,Februar,Wolt,3248.0
2025,Februar,Farmit,9257.57
2025,Februar,Odrzavanje racuna,475.0
2025,Februar,Maxi,1601.16
2025,Februar,Lidl,1805.56
2025,Februar,Shop&Go,57.99
2025,Februar,Shop&Go,83.16
2025,Februar,Maxi,1115.41
2025,Februar,Maxi,1301.23
2025,Februar,Ikea,24097.0
2025,Februar,Shop&Go,71.99
2025,Februar,Shop&Go,270.48
2025,Februar,Apoteka,1077.68
